"","range","mean"
"1","0km - 50km",0.455985915492958
"2","50km - 100km",0.459459459459459
"3","100km - 150km",0.427536231884058
"4","150km - 200km",0.463076923076923
"5","200km - 250km",0.5
"6","250km - 300km",0.472283813747228
"7","300km - 500km",0.465957446808511
