"","range","mean"
"1","0km - 300km",0.367424242424242
"2","300km - 600km",0.543859649122807
"3","600km - 900km",0.490909090909091
"4","900km - 1200km",0.514492753623188
"5","1200km - 1500km",0.4875
"6","1500km - 1800km",0.396551724137931
"7","1800km - 2100km",0.476190476190476
"8","2100km - 2400km",0.5
