"","team","home.mean","away.mean","diff","type"
"4","Collingwood",92.359375,94.4193548387097,-2.05997983870968,"below"
"1","Adelaide",96.0409836065574,95.2333333333333,0.807650273224041,"above"
"13","Port Adelaide",87.9316239316239,86.5982905982906,1.33333333333333,"above"
"14","Richmond",89.6178861788618,88.2542372881356,1.3636488907262,"above"
"3","Carlton",85.0598290598291,82.0756302521008,2.98419880772822,"above"
"16","Sydney",93.5859375,88.608,4.9779375,"above"
"11","Melbourne",82.5811965811966,77.6016949152542,4.97950166594234,"above"
"10","Hawthorn",102.708661417323,96.808,5.90066141732282,"above"
"5","Essendon",90.1794871794872,82.825,7.35448717948718,"above"
"19","All Teams",91.8417097228746,84.4048849224988,7.43682480037576,"above"
"8","Gold Coast",79.0927835051546,69.7474747474748,9.34530875767989,"above"
"7","Geelong",103.381679389313,93.1774193548387,10.2042600344743,"above"
"6","Fremantle",87.2396694214876,76.7377049180328,10.5019645034548,"above"
"18","Western Bulldogs",91.4873949579832,80.5241935483871,10.9632014095961,"above"
"12","North Melbourne",98.4521739130435,86.1612903225806,12.2908835904628,"above"
"2","Brisbane",88.1101694915254,75.7327586206897,12.3774108708358,"above"
"9","GWS Giants",89.9120879120879,77.2291666666667,12.6829212454212,"above"
"15","St Kilda",89.9913043478261,76.1016949152542,13.8896094325718,"above"
"17","West Coast",99.8809523809524,85.8916666666667,13.9892857142857,"above"
